0.86505,0.78308,0.052985,0.16842,0.32679,0.08204
0.77676,0.60957,0.056038,0.18387,0.35783,0.056063
0.87967,0.83648,0.077134,0.15483,0.29205,0.082249
0.78071,0.56345,0.0020337,0.17616,0.35347,0.0030864
0.78437,0.57169,0.0029379,0.17243,0.3444,0.0044195
0.86968,0.7936,0.054247,0.17854,0.3414,0.07151
0.90648,0.8822,0.069229,0.11902,0.22028,0.066778
0.75447,0.51067,0.0017227,0.19767,0.39625,0.0022517
0.7515,0.50473,0.0017241,0.1945,0.38967,0.0022071
0.83092,0.66793,0.0060934,0.15675,0.31333,0.015357
